Top queries,Clicks,Impressions,CTR,Position
psoriasis clinical trials near me,0,13,0%,36.15
psoriasis treatment boise,0,9,0%,37.89
eczema clinical trials near me,0,4,0%,12.5
migraine clinical trials,0,4,0%,85.5
arthritis clinical trials omaha,0,3,0%,5
chandler arizona migraine clinical research studies,0,3,0%,5
eczema skin allergies scottsdale,0,3,0%,44
psoriasis clinical trials san francisco,0,3,0%,74.33
drug free migraine treatment 78413,0,2,0%,7.5
drug free migraine treatment corpus christi,0,2,0%,8
psoriasis clinical trials los angeles,0,2,0%,11.5
psoriasis clinical trials dallas,0,2,0%,15
diabetes clinical trials orlando,0,2,0%,16.5
osteoarthritis clinical trials atlanta,0,2,0%,18
eczema clinical trials phoenix,0,2,0%,19.5
arthritis clinical trials near me,0,2,0%,20.5
arthritis clinical trials columbus,0,1,0%,6
nct07216027,0,1,0%,11
psoriasis clinical trials chicago,0,1,0%,11
diabetes clinical trials near me,0,1,0%,16
diabetes clinical trials houston,0,1,0%,19
visual snow syndrome,0,1,0%,22
eczema clinical trials birmingham,0,1,0%,24
treating severe psoriasis in boise,0,1,0%,31
psoriasis clinical trials new york,0,1,0%,32
psoriasis clinical trials bellevue,0,1,0%,36
eczema treatment scottsdale,0,1,0%,46
arthritis clinical trials raleigh,0,1,0%,51
eczema study paid,0,1,0%,74
migraine headache clinical trials near me,0,1,0%,76
paid eczema study,0,1,0%,80
chronic migraine clinical trials,0,1,0%,94
eczema clinical trials columbus,0,1,0%,98